Categorie: Toate categoriile

Region,Crin Antonescu,Nicusor Dan,Victor Ponta,George Simion
Județul Harghita,70,30,0,0
Județul Covasna,63,0,0,37
Județul Satu Mare,54,29,0,17
Județul Mehedinți,41,24,0,35
Județul Argeș,34,26,13,27
Județul Bihor,40,29,11,20
Județul Giurgiu,38,24,0,38
Județul Alba,33,35,0,32
Județul Botoșani,44,23,0,33
Județul Cluj,27,43,10,20
Municipiul București,28,42,10,20
Județul Vâlcea,27,27,12,34
Județul Mureș,31,38,12,19
Județul Olt,36,30,0,34
Județul Timiș,27,41,11,21
Județul Sălaj,48,52,0,0
Județul Ilfov,26,38,13,23
Județul Sibiu,31,36,8,25
Județul Brașov,29,38,11,22
Județul Neamț,30,34,12,24
Județul Călărași,29,37,0,34
Județul Maramureș,29,34,15,22
Județul Arad,37,45,0,18
Județul Constanța,29,40,8,23
Județul Dolj,31,39,0,30
Județul Vrancea,29,21,0,50
Județul Prahova,28,37,12,23
Județul Caraș-Severin,47,0,0,53
Județul Galați,40,38,0,22
Județul Hunedoara,30,42,0,28
Județul Iași,23,42,9,26
Județul Dâmbovița,23,25,24,28
Județul Gorj,21,31,20,28
Județul Buzău,22,42,16,20
Județul Bacău,26,49,0,25
Județul Teleorman,49,0,0,51
Județul Suceava,24,31,18,27
Județul Bistrița-Năsăud,22,48,0,30
Județul Ialomița,0,65,0,35
Județul Tulcea,0,0,0,0
Județul Brăila,0,54,0,46
Județul Vaslui,0,42,27,31
